ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
10224764,HY411550,09/03/2015 09:00:00 PM,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839062,2015,02/10/2018 03:50:01 PM,41.71312783,-87.53648662,"(41.713127829, -87.536486623)",47,21202,49,528,47,25,19,247
10224765,HY411328,09/05/2015 08:45:00 AM,077XX S SOUTH SHORE DR,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,421,4,7,43,08A,1197240,1854764,2015,02/10/2018 03:50:01 PM,41.75633032,-87.5527162,"(41.756330319, -87.552716204)",43,22538,39,421,37,24,19,225
10224766,HY411198,09/05/2015 06:20:00 AM,075XX S PHILLIPS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,421,4,7,43,08B,1193840,1855495,2015,02/10/2018 03:50:01 PM,41.75842022,-87.56515234,"(41.758420222, -87.565152335)",43,22538,39,245,37,24,19,225
10224767,HY410417,09/04/2015 04:15:00 PM,079XX S SAGINAW AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,422,4,7,46,3,1195224,1852934,2015,02/10/2018 03:50:01 PM,41.75135862,-87.56016455,"(41.75135862, -87.560164545)",43,21202,42,244,37,25,19,234
10224768,HY410651,09/03/2015 08:30:00 PM,078XX S ESCANABA AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,421,4,7,43,6,1196887,1853400,2015,02/10/2018 03:50:01 PM,41.75259619,-87.55405513,"(41.752596188, -87.554055126)",43,22538,39,246,37,24,19,225
10224769,HY411672,09/05/2015 02:30:00 PM,005XX S STATE ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,123,1,2,32,6,1176446,1897964,2015,02/10/2018 03:50:01 PM,41.87536742,-87.62762099,"(41.875367424, -87.627620993)",48,14913,38,92,10,35,22,144
10224770,HY411586,09/05/2015 12:40:00 PM,005XX W 61ST PL,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,711,7,20,68,04B,1173653,1864134,2015,02/10/2018 03:50:01 PM,41.78259748,-87.63887977,"(41.782597483, -87.638879769)",53,21559,66,166,4,11,17,135
10224772,HY411681,09/04/2015 11:00:00 PM,011XX N ASHLAND AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1213,12,1,24,6,1165522,1907528,2015,02/10/2018 03:50:01 PM,41.90185123,-87.66745695,"(41.901851233, -87.667456951)",24,21560,25,518,41,4,15,60
10224773,HY411685,09/05/2015 07:00:00 AM,029XX W FIFTH AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1124,11,2,27,5,1156926,1899592,2015,02/10/2018 03:50:01 PM,41.88025287,-87.69924661,"(41.880252868, -87.69924661)",48,21184,28,51,46,28,16,123
10224775,HY411666,09/05/2015 09:00:00 AM,068XX S KEATING AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,833,8,13,65,26,1146015,1859113,2015,09/17/2015 11:37:18 AM,41.76938686,-87.74033684,"(41.769386857, -87.740336842)",23,4300,63,318,15,58,13,209
10224776,HY411687,09/05/2015 02:45:00 PM,071XX S PULASKI RD,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,833,8,13,65,6,1150938,1857056,2015,02/10/2018 03:50:01 PM,41.76364755,-87.72234469,"(41.763647552, -87.722344693)",23,21867,63,318,30,58,13,209
10224778,HY411675,09/05/2015 02:44:00 PM,047XX N KEELER AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,1722,17,39,14,08A,1147525,1931300,2015,02/10/2018 03:50:01 PM,41.96744801,-87.73295114,"(41.967448012, -87.732951137)",28,21869,14,257,38,48,1,11
10224779,HY411651,09/02/2015 12:00:00 PM,076XX S PHILLIPS AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,421,4,7,43,26,1193859,1854719,2015,02/10/2018 03:50:01 PM,41.75629035,-87.5651081,"(41.756290353, -87.565108099)",43,22538,39,245,37,24,19,225
